Name,Location,Price
"5 Anna Semi Bungalow For Sale At Sukedhara Inside Ring Road : House For Sale In Sukedhara, Kathmandu",Kathmandu,42500000
"House For Sale In Budhanilkantha, Kathmandu",Kathmandu,35000000
"Plotting Land For Sale At Tokha In 20 Feet Pitched Road. : Land For Sale In Tokha, Kathmandu",Kathmandu,2200000
"5 Anna Land For Sale At Chapali Ghumti : Land For Sale In Chapali, Kathmandu",Kathmandu,2400000
"Pasikot Ghumti Land : Land For Sale In Budhanilkantha, Kathmandu",Kathmandu,2400000
"Land On Sale In Chabahil, Kathmandu : Land For Sale In Anamnagar, Kathmandu",Kathmandu,6000000
"Hepali Height 13 Ana : Land For Sale In Golfutar, Kathmandu",Kathmandu,2700000
"Tokha Plotting Land : Land For Sale In Tokha, Kathmandu",Kathmandu,2300000
"Golfutar Height Bungalow : House For Sale In Golfutar, Kathmandu",Kathmandu,37000000
"Sukedhara New Home : House For Sale In Sukedhara, Kathmandu",Kathmandu,45000000
"House For Sale At Manamaiju : House For Sale In Manamaiju, Kathmandu",Kathmandu,17000000
"House For Rent At Maharajgunj : House For Rent In Maharajgunj, Kathmandu",Kathmandu,100000
"Residential : House For Sale In Goldhunga, Kathmandu",Kathmandu,16500000
"Ramkot House : House For Sale In Sitapaila, Kathmandu",Kathmandu,20500000
"Flat For Rent In Koteshwor, Kathmandu",Kathmandu,60000
"House Rent In Lazimpat : House For Rent In Lazimpat, Kathmandu",Kathmandu,175000
"House For Rent In Mhepi, Kathmandu",Kathmandu,160000
"4 Aana Land : Land For Sale In Budhanilkantha, Kathmandu",Kathmandu,2500000
"Land On Sale : Land For Sale In Teku, Kathmandu",Kathmandu,6000000
"Akase Dhara House : House For Sale In Kapan, Kathmandu",Kathmandu,18000000
"Flat : Flat For Rent In Swayambhu, Kathmandu",Kathmandu,35000
"3-Storey House For Sale In Gairidhara : House For Sale In Gairidhara, Kathmandu",Kathmandu,55000000
"Land For Sale At Gokarna : Land For Sale In Gokarneshwor, Kathmandu",Kathmandu,1650000
"Budhanilkantha Furnished Bungalow : House For Sale In Budhanilkantha, Kathmandu",Kathmandu,45000000
"Sanobharyang 3.1 Ana 1.3 Km : House For Sale In Sanobharyang, Kathmandu",Kathmandu,22500000
"Sanobharyang Home : House For Sale In Swayambhu, Kathmandu",Kathmandu,23500000
"Golfutar Bungalow For Sale : House For Sale In Golfutar, Kathmandu",Kathmandu,102500000
"Newroad Office Space On Rent : Office Space For Rent In Newroad, Kathmandu",Kathmandu,40000
"House For Sale In Kadaghari, Kathmandu",Kathmandu,13000000
"Budhanilkantha 4 Ana Home : House For Sale In Budhanilkantha, Kathmandu",Kathmandu,32500000
"House For Sale In Satungal, Kathmandu",Kathmandu,26000000
"Chapali Cheap Home : House For Sale In Chapali, Kathmandu",Kathmandu,24000000
"12.5 Anna Jagga On Sale At Lolang Height, Hariyali Samaaj : House For Sale In Balaju, Kathmandu",Kathmandu,2200000
"Pasikot Cheap Home 168 Only : House For Sale In Pasikot, Kathmandu",Kathmandu,16800000
"Budhanilkantha 5.5 Ana Home : House For Sale In Budhanilkantha, Kathmandu",Kathmandu,34000000
"Beautiful Small Home Budhanilkantha : House For Sale In Budhanilkantha, Kathmandu",Kathmandu,22500000
"Bhudhanilkantha House On Rent : House For Rent In Budhanilkantha, Kathmandu",Kathmandu,200000
"Flat/Room Rent At Balaju ( Storage, Godaun/ Office Space) : Office Space For Rent In Balaju, Kathmandu",Kathmandu,25000
"Flat For Rent At Dhunge Dhara Banasthali : Flat For Rent In Dhungedhara, Kathmandu",Kathmandu,17000
"Chapali Bungalow 13 Ana : House For Sale In Chapali, Kathmandu",Kathmandu,42500000
"Maharajganj 5 Ropani Bungalow : House For Rent In Maharajgunj, Kathmandu",Kathmandu,790000
"Beautiful : House For Sale In Baluwatar, Kathmandu",Kathmandu,41000000
"Land For Sale In Kapan, Kathmandu",Kathmandu,1300000
"House On Rent Or Sale At Matatirtha : House For Sale In Matatirtha, Kathmandu",Kathmandu,15000000
"House For Sale In Tinthana, Kathmandu",Kathmandu,16000000
"House For Rent At Naxal : House For Rent In Naxal, Kathmandu",Kathmandu,500000
"Urgent House Sale : House For Sale In Kapan, Kathmandu",Kathmandu,15000000
"Affordable Home At Jorpati : House For Sale In Jorpati, Kathmandu",Kathmandu,23500000
"Ravishing : House For Sale In Baluwatar, Kathmandu",Kathmandu,60000000
"Commercial : Land For Sale In Gaurighat, Kathmandu",Kathmandu,4200000
"Commercial : Land For Sale In Gaurighat, Kathmandu",Kathmandu,4200000
"Commercial : Land For Sale In Gaurighat, Kathmandu",Kathmandu,4500000
"Commercial : Land For Sale In Gaurighat, Kathmandu",Kathmandu,4200000
"Commercial : Land For Sale In Gaurighat, Kathmandu",Kathmandu,6000000
"Commercial : Land For Sale In Gaurighat, Kathmandu",Kathmandu,8000000
"Commercial : Land For Sale In Gaurighat, Kathmandu",Kathmandu,4200000
"Uniform Showroom And Factory : Business For Sale In Samakhusi, Kathmandu",Kathmandu,750000
"Pasikot 21 Ana Home : House For Sale In Pasikot, Kathmandu",Kathmandu,81000000
"Pasikot 12 Ana Home : House For Sale In Pasikot, Kathmandu",Kathmandu,55000000
"House For Sale In Thankot, Kathmandu",Kathmandu,13000000
"House On Rent At Bafal : House For Sale In Bafal, Kathmandu",Kathmandu,30000000
